City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
264,reyes,-14.3167,-67.3833,33.09,49,20,2.06,BO,1691180825
265,egilsstadir,65.2653,-14.3948,10.95,66,20,5.14,IS,1691180739
266,happy valley-goose bay,53.3168,-60.3315,17.17,82,100,2.57,CA,1691180826
267,ishigaki,24.3448,124.1572,26.07,100,100,2.57,JP,1691180826
268,sarangani,5.4033,125.4636,27.99,79,59,2.92,PH,1691180826
269,sanctuary point,-35.1114,150.629,14.43,66,100,3.02,AU,1691180826
270,tual,-5.6667,132.75,25.87,82,74,9.91,ID,1691180827
271,sinop,41.7711,34.8709,19.08,67,0,2.81,TR,1691180827
272,inari,68.906,27.0288,17.11,98,100,2.08,FI,1691180827
273,kasongo,-4.45,26.6667,26.4,43,77,1.89,CD,1691180827
274,ust'-ilimsk,58.0006,102.6619,10.57,96,90,1.84,RU,1691180827
275,chicoana,-25.1009,-65.5331,25.03,35,0,3.35,AR,1691180828
276,hermanus,-34.4187,19.2345,8.78,85,45,2.79,ZA,1691180746
277,arraial do cabo,-22.9661,-42.0278,21.98,78,0,4.12,BR,1691180741
278,buka,40.8108,69.1986,24.48,21,0,0.98,UZ,1691180828
279,ancud,-41.8697,-73.8203,9.05,69,43,2.14,CL,1691180741
280,anloga,5.7947,0.8973,24.89,88,6,5.76,GH,1691180829
281,yarmouth,41.7057,-70.2286,26.26,67,20,6.17,US,1691180822
282,sechura,-5.5569,-80.8222,27.1,58,3,7.54,PE,1691180829
283,rawson,-43.3002,-65.1023,12.89,37,0,5.07,AR,1691180829
284,sawakin,19.1059,37.3321,33.84,45,9,0.96,SD,1691180829
285,peterhead,57.5058,-1.7981,13.03,76,39,3.54,GB,1691180830
286,altai,46.3722,96.2583,14.22,63,64,1.12,MN,1691180830
287,saipan,15.1355,145.701,27.39,100,0,1.54,MP,1691180830
288,ciudad bolivar,8.1222,-63.5497,32.26,54,95,0.71,VE,1691180830
289,tripoli,32.8752,13.1875,32.49,46,0,7.15,LY,1691180831
290,pacocha,-17.5833,-71.3333,19.08,68,75,3.6,PE,1691180831
291,marquette,46.5333,-87.6335,23.76,71,51,2.24,US,1691180831
292,tidjikja,18.5564,-11.4271,37.14,13,33,4.7,MR,1691180832
293,carnarvon,-24.8667,113.6333,16.57,65,0,6.75,AU,1691180751
294,comodoro rivadavia,-45.8667,-67.5,14.92,29,20,7.2,AR,1691180813
295,sharlyk,52.9167,54.75,18.48,81,19,1.16,RU,1691180833
296,port douglas,-16.4833,145.4667,20.68,77,92,7.6,AU,1691180746
